Date,Total_Likes,Daily_New_Likes,Daily_Unlikes,Daily_Page_Engaged_Users,Daily_Total_Reach
6/7/16,40549,15,8,216,9938
6/8/16,40566,21,6,1121,25433
6/9/16,40615,56,5,1164,24528
6/10/16,40632,22,6,1112,22572
6/11/16,40652,24,4,1436,33325
6/12/16,40658,9,3,1458,28134
6/13/16,40674,18,2,1290,26776
6/14/16,40667,17,4,1410,23217
6/15/16,40691,11,5,1808,26331
6/16/16,40702,20,8,1655,24555
6/17/16,40707,11,5,1456,17943
6/18/16,40710,9,6,1505,22358
6/19/16,40725,18,3,1567,25449
6/20/16,40732,13,5,1634,29431
6/21/16,40752,25,4,2549,31666
6/22/16,40767,22,5,1675,23034
6/23/16,40857,95,8,1318,19801
6/24/16,40873,24,8,654,13970
6/25/16,40882,12,2,564,13167
6/26/16,40883,7,5,654,12347
6/27/16,40893,10,0,575,12467
6/28/16,40901,17,8,678,12097
6/29/16,40909,12,4,555,12527
6/30/16,40957,56,4,326,10615
7/1/16,40962,14,9,161,6747
7/2/16,40959,6,9,270,7846
7/3/16,40962,7,4,212,7040
7/4/16,40971,11,2,525,10241
7/5/16,40973,10,6,502,26326
7/6/16,40984,15,4,454,37551
7/7/16,40995,17,4,1880,48307
7/8/16,40995,6,4,1668,46388
7/9/16,40998,9,2,1830,45768
7/10/16,41007,15,5,2017,50240
7/11/16,41015,12,3,2049,43342
7/12/16,41018,10,7,1751,39707
7/13/16,41029,16,4,1935,38901
7/14/16,41039,15,4,1626,30517
7/15/16,41048,12,2,719,24573
7/16/16,41054,10,2,151,12406
7/17/16,41053,5,3,109,10084
7/18/16,41058,10,3,471,37057
7/19/16,41076,21,3,1138,33654
7/20/16,41089,14,2,1765,39108
7/21/16,41096,12,5,1840,38512
7/22/16,41096,6,5,199,3589
7/23/16,41102,9,5,16,159
7/24/16,41115,15,2,67,1218
7/25/16,41125,17,7,112,3050
7/26/16,41125,10,9,56,1528
7/27/16,41143,25,7,115,3745
7/28/16,41158,16,1,105,5855
7/29/16,41162,7,2,72,7664
7/30/16,41167,7,1,56,4514
7/31/16,41172,11,5,83,6163
8/1/16,41187,25,10,186,9930
8/2/16,41202,17,1,207,7660
8/3/16,41214,15,2,66,6058
8/4/16,41219,17,10,384,9561
8/5/16,41235,19,4,159,7958
8/6/16,41240,9,5,94,4913
8/7/16,41245,12,6,56,5416
8/8/16,41266,21,0,479,29630
8/9/16,41270,10,5,616,23145
8/10/16,41281,14,4,738,28876
8/11/16,41298,24,7,837,36809
8/12/16,41329,39,5,1157,39869
8/13/16,41347,21,3,753,40110
8/14/16,41373,32,6,581,27117
8/15/16,41404,33,2,617,35837
8/16/16,41414,14,3,531,37070
8/17/16,41429,25,9,642,35078
8/18/16,41446,20,3,535,30798
8/19/16,41458,15,2,775,33628
8/20/16,41460,9,7,650,33742
8/21/16,41471,13,2,531,31935
8/22/16,41480,11,4,502,25522
8/23/16,41488,12,4,502,20239
8/24/16,41500,18,5,302,16606
8/25/16,41510,12,2,142,2730
8/26/16,41506,6,10,77,1847
8/27/16,41507,5,4,46,1404
8/28/16,41508,3,2,34,454
8/29/16,41510,9,7,90,1880
8/30/16,41513,8,5,108,2219
8/31/16,41529,19,3,132,2190
9/1/16,41529,5,4,63,2003
9/2/16,41522,5,12,99,2757
9/3/16,41526,5,1,85,2431
9/4/16,41528,4,2,25,617
9/5/16,41527,3,4,65,1704
9/6/16,41534,10,3,334,34753
9/7/16,41538,10,6,560,41856
9/8/16,41543,8,3,565,32199
9/9/16,41545,5,3,695,38746
9/10/16,41545,8,7,662,43295
9/11/16,41547,5,3,672,43825
9/12/16,41552,8,3,643,38235
9/13/16,41561,12,3,585,45602
9/14/16,41569,11,3,204,5232
9/15/16,41574,8,3,142,6342
9/16/16,41580,7,1,135,5694
9/17/16,41580,5,4,113,4469
9/18/16,41582,6,3,82,4891
9/19/16,41583,8,7,106,4597
9/20/16,41587,6,2,21,377
9/21/16,41594,10,3,47,1191
9/22/16,41600,8,1,47,1202
9/23/16,41599,6,7,75,1988
9/24/16,41595,4,8,31,1503
9/25/16,41591,2,6,28,1303
9/26/16,41602,11,0,34,961
9/27/16,41607,7,1,355,33772
9/28/16,41618,13,1,341,34871
9/29/16,41625,13,4,454,35192
9/30/16,41640,17,3,502,26910
10/1/16,41640,10,7,813,33063
10/2/16,41637,7,7,572,31444
10/3/16,41640,10,6,621,44102
10/4/16,41646,9,3,587,36327
10/5/16,41650,12,8,720,41224
10/6/16,41651,3,2,499,47066
10/7/16,41650,7,6,456,35795
10/8/16,41648,2,3,450,33748
10/9/16,41649,2,1,409,33633
10/10/16,41662,17,6,599,37993
10/11/16,41670,14,4,572,41380
10/12/16,41676,11,4,444,39640
10/13/16,41680,7,4,408,33255
10/14/16,41683,7,4,142,4806
10/15/16,41678,4,8,72,2967
10/16/16,41679,6,5,13,476
10/17/16,41686,13,5,284,7151
10/18/16,41701,21,5,307,7965
10/19/16,41700,5,5,174,3854
10/20/16,41709,13,4,68,2041
10/21/16,41718,12,3,431,9028
10/22/16,41721,8,4,204,5754
10/23/16,41725,7,4,76,1093
10/24/16,41724,11,9,68,1943
10/25/16,41727,10,6,119,3808
10/26/16,41733,11,5,40,1661
10/27/16,41738,11,6,92,2301
10/28/16,41765,31,4,757,15078
10/29/16,41781,23,2,511,11282
10/30/16,41802,9,6,180,3732
10/31/16,41805,7,2,66,1758
11/1/16,41810,10,4,130,3461
11/2/16,41816,14,6,91,2350
11/3/16,41824,11,6,41,730
11/4/16,41829,0,0,6,51