"Id","Name","ModuleNamespace","Description","BusinessProcessId","SobjectType","IsActive","CreatedById","CreatedDate","LastModifiedById","LastModifiedDate","SystemModstamp","IsDeleted"
"012380000009vxVAAQ","Onward to Opportunity","","Onward to Opportunity referred client","","Contact","1","00538000004gsNsAAI","2015-10-29 17:46:22","00538000004gsNsAAI","2016-09-14 13:48:42","2016-09-14 13:48:42","0"
"012380000009vxkAAA","Volunteer","","For Hire Heroes Volunteer Form","019500000004bW5AAI","Lead","1","00538000004gsNsAAI","2015-11-05 19:23:05","00538000004gsNsAAI","2016-08-05 12:44:35","2016-08-05 12:44:35","0"
"012380000009vyEAAQ","Workshop","","A campaign used to track workshop participants","","Campaign","1","00538000004gsNsAAI","2015-11-10 17:33:37","00538000004gsNsAAI","2016-09-14 13:50:29","2016-09-14 13:50:29","0"
"012380000009w47AAA","Online Registrant","","","","Contact","1","00538000004gsNsAAI","2016-01-25 18:02:03","00538000004gsNsAAI","2016-09-14 13:48:42","2016-09-14 13:48:42","0"
"012380000009w7GAAQ","Independence Project","","Veteran part of the Independence project","","Contact","1","00538000004gsNsAAI","2016-02-16 14:50:19","00538000004gsNsAAI","2016-09-14 13:48:42","2016-09-14 13:48:42","0"
"012380000009wBhAAI","Inquiry","","These are inquiries coming in from the Contact form","019500000004bW5AAI","Lead","1","00538000004gsNsAAI","2016-03-15 13:07:34","00538000004gsNsAAI","2016-08-05 12:44:35","2016-08-05 12:44:35","0"
"012380000009wC6AAI","Household Account","","An Account representing a Household containing one or more individuals","","Account","1","00538000004mA6VAAU","2016-03-21 19:14:28","00550000000z4FcAAI","2016-09-19 18:32:30","2016-09-19 18:32:30","0"
"012380000009wC7AAI","Organization","","An Account representing an organization","","Account","1","00538000004mA6VAAU","2016-03-21 19:14:31","00550000000z4FcAAI","2016-09-19 18:32:30","2016-09-19 18:32:30","0"
"012380000009wCLAAY","Event","","Campaign Event","","Campaign","1","00538000004mA6VAAU","2016-03-22 14:55:19","00538000004gsNsAAI","2016-08-08 14:47:06","2016-08-08 14:47:06","0"
"012380000009wCMAAY","General","","","","Campaign","1","00538000004mA6VAAU","2016-03-22 14:55:22","00538000004gsNsAAI","2016-08-08 14:47:06","2016-08-08 14:47:06","0"
"012380000009wCNAAY","Mailing List","","","","Campaign","1","00538000004mA6VAAU","2016-03-22 14:55:22","00538000004gsNsAAI","2016-08-08 14:47:06","2016-08-08 14:47:06","0"
"012380000009wCQAAY","Classy","","","","Account","1","00538000004mA6VAAU","2016-03-22 19:30:54","00550000000z4FcAAI","2016-09-19 18:32:30","2016-09-19 18:32:30","0"
"012380000009wCRAAY","Classy","","Default Record Type for Campaigns created via Classy","","Campaign","1","00538000004mA6VAAU","2016-03-22 19:30:56","00538000004gsNsAAI","2016-08-08 14:47:06","2016-08-08 14:47:06","0"
"012380000009wCSAAY","StayClassy","","Contact record added via Classy","","Contact","1","00538000004mA6VAAU","2016-03-22 19:30:56","00538000004gsNsAAI","2016-09-14 13:48:42","2016-09-14 13:48:42","0"
"012380000009wCTAAY","Default","","","01938000000D7hFAAS","Opportunity","1","00538000004mA6VAAU","2016-03-22 19:30:58","00550000000z4FcAAI","2016-09-19 19:38:15","2016-09-19 19:38:15","0"
"012380000009wCUAAY","Classy","","Data inserted via Classy","01938000000D7hFAAS","Opportunity","0","00538000004mA6VAAU","2016-03-22 19:30:58","00550000000z4FcAAI","2016-09-19 19:38:15","2016-09-19 19:38:15","0"
"012380000009wCVAAY","In-Kind","","Use this record type for In-Kind gifts","019500000004bW6AAI","Opportunity","1","00538000004mA6VAAU","2016-03-22 20:39:34","00550000000z4FcAAI","2016-09-19 19:38:15","2016-09-19 19:38:15","0"
"01238000000E8RTAA0","Fundraiser","","","","Campaign","1","00550000000z4FcAAI","2016-04-13 19:43:37","00538000004gsNsAAI","2016-08-08 14:47:06","2016-08-08 14:47:06","0"
"01238000000UVb5AAG","Outreach Requests","","","01950000000LJ3sAAG","Case","1","00538000004gsNsAAI","2016-09-19 12:30:34","00538000004gsNsAAI","2016-09-19 12:35:45","2016-09-19 12:35:45","0"
"012500000000r6BAAQ","Potential Employer","","These are leads coming in from the Contact Us Page of the Hire Heroes USa website, or ones manually entered as leads.","019500000004bW5AAI","Lead","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2016-08-05 12:44:35","2016-08-05 12:44:35","0"
"012500000000r6CAAQ","MajorGift","","Use this record type for major gift initiatives","019500000004bW8AAI","Opportunity","0","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2016-09-19 19:38:15","2016-09-19 19:38:15","0"
"012500000000r6DAAQ","Membership","","Use this record type for memberships","019500000004bW6AAI","Opportunity","0","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2016-09-19 19:38:15","2016-09-19 19:38:15","0"
"012500000000r6EAAQ","Donation","","Use this record type for standard donations","019500000004bW6AAI","Opportunity","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2016-09-19 19:38:15","2016-09-19 19:38:15","0"
"012500000000r6FAAQ","MatchingDonation","","Use this record type for matching donations","019500000004bW6AAI","Opportunity","0","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2016-09-19 19:38:15","2016-09-19 19:38:15","0"
"012500000000r6HAAQ","Grant","","Use this record type for grant applications","019500000004bW7AAI","Opportunity","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2016-09-19 19:38:15","2016-09-19 19:38:15","0"
"012500000000r6IAAQ","Individual","","represents a single contact record","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2016-09-19 18:32:30","2016-09-19 18:32:30","0"
"012500000000r6JAAQ","Business","","Use this record type for corporations or small businesses","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2016-09-19 18:32:30","2016-09-19 18:32:30","0"
"012500000000r6KAAQ","Foundation","","Use this record type for foundation entities","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2016-09-19 18:32:30","2016-09-19 18:32:30","0"
"012500000000r6LAAQ","Nonprofit","","Use this record type for nonprofit entities","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2016-09-19 18:32:30","2016-09-19 18:32:30","0"
"012500000000r6MAAQ","Government","","Use this record type for government agencies (federal, local or state)","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2016-09-19 18:32:30","2016-09-19 18:32:30","0"
"012500000000rASAAY","Business Contact","","These ae company contacts","","Contact","1","00550000000xADhAAM","2007-03-28 18:33:49","00538000004gsNsAAI","2016-09-14 13:48:42","2016-09-14 13:48:42","0"
"012500000000rdPAAQ","Legacy Candidate","","These are Veterans seeking employment","","Contact","0","00550000000yo44AAA","2007-04-06 16:22:22","00538000004gsNsAAI","2016-08-26 15:31:36","2016-08-26 15:31:36","0"
"012500000000tO2AAI","Candidate","","","","Account","0","00550000000xADhAAM","2007-05-29 22:44:43","00538000004gsNsAAI","2016-05-13 17:15:08","2016-05-13 17:15:08","0"
"01250000000167jAAA","Mentor","","These are individuals who want to participate in the Hire Heroes USA Mentor Program","","Contact","0","00550000000z4FcAAI","2008-05-16 18:24:27","00538000004gsNsAAI","2016-08-26 15:31:36","2016-08-26 15:31:36","0"
"0125000000016tCAAQ","Volunteer","","Volunteers in the Hire Heroes USA program","","Contact","1","00550000000z4FcAAI","2008-06-04 13:48:42","00538000004gsNsAAI","2016-09-14 13:48:42","2016-09-14 13:48:42","0"
"0125000000016tgAAA","MedAssets Employees","","These are MedAssets Employees listed in Salesforce","","Contact","0","00550000000z4FcAAI","2008-06-04 18:58:59","00538000004gsNsAAI","2016-08-26 15:31:36","2016-08-26 15:31:36","0"
"0125000000016vJAAQ","Veteran Rep & Employment Coordinator","","Veteran Representative & Employment Coordinators listed in Salesforce","","Contact","0","00550000000z4FcAAI","2008-06-05 16:51:27","00538000004gsNsAAI","2016-08-26 15:31:36","2016-08-26 15:31:36","0"
"0125000000017SNAAY","Donor","","These are financial contributors","","Contact","1","00550000000z4FcAAI","2008-06-24 16:09:32","00538000004gsNsAAI","2016-09-14 13:48:42","2016-09-14 13:48:42","0"
"0125000000017wSAAQ","Spouse or Parent","","Spouses of veterans","","Contact","0","00550000000z4FcAAI","2008-07-16 19:00:20","00538000004gsNsAAI","2016-08-26 15:31:36","2016-08-26 15:31:36","0"
"0125000000018bHAAQ","Newsletter Sign Up","","These individuals checked to sign up for our newsletter on the website","019500000004bW5AAI","Lead","1","00550000000z4FcAAI","2008-08-13 18:19:15","00538000004gsNsAAI","2016-08-05 12:44:35","2016-08-05 12:44:35","0"
"012500000001DfvAAE","2010 Legends Camp Attendee","","","","Contact","0","00550000000ztRtAAI","2009-06-26 18:45:27","00538000004gsNsAAI","2016-08-26 15:31:36","2016-08-26 15:31:36","0"
"01250000000HZ2JAAW","Internal Ideas: Idea Record Type","","Record Type used to associate ideas with a specific community","","Idea","1","00550000000xADhAAM","2008-05-18 04:41:47","00550000000xADhAAM","2008-05-18 04:41:47","2008-05-18 04:41:47","0"
"01250000000Lt86AAC","USO-Sponsored Workshop Participant","","These registrants have attended a USO-Sponsored Workshop","","Contact","0","00550000000ztRtAAI","2011-08-05 18:46:23","00538000004gsNsAAI","2016-08-26 15:31:36","2016-08-26 15:31:36","0"
"01250000000LtPvAAK","City of Refuge","","Veterans help through project with City of Refuge - Atlanta","","Account","0","00550000001Wb4NAAS","2011-10-17 19:08:09","00538000004gsNsAAI","2016-05-13 17:15:08","2016-05-13 17:15:08","0"
"01250000000LtQ0AAK","City of Refuge","","Veterans helped through project with City of Refuge - Atlanta","","Contact","0","00550000001Wb4NAAS","2011-10-17 19:11:39","00538000004gsNsAAI","2016-08-26 15:31:36","2016-08-26 15:31:36","0"
"01250000000LuQSAA0","Newsletter Sign-up","","These leads are people who sign up for our newsletter. They must be converted to accounts!","","Contact","1","00550000000ztRtAAI","2012-03-22 15:37:14","00538000004gsNsAAI","2016-09-14 13:48:42","2016-09-14 13:48:42","0"
"01250000000LunnAAC","Default","","The default campaign record type to use for new campaigns","","Campaign","1","00550000000ztRtAAI","2012-05-16 16:33:24","00538000004gsNsAAI","2016-08-08 14:47:06","2016-08-08 14:47:06","0"
"01250000000LunsAAC","Volunteer Campaign","","A campaign specifically used to track Volunteers","","Campaign","1","00550000000z4FcAAI","2012-05-16 16:38:58","00538000004gsNsAAI","2016-08-08 14:47:06","2016-08-08 14:47:06","0"
"01250000000LuwGAAS","VOWS NYC Event","","Candidates fromthe Vows event in NYC in June 2012","","Contact","0","00550000000ztRtAAI","2012-06-27 15:02:36","00538000004gsNsAAI","2016-08-26 15:31:36","2016-08-26 15:31:36","0"
"01250000000Lvi5AAC","AVR","","Attempted Veteran Registrant","","Contact","1","00550000000ztRtAAI","2013-02-28 15:00:13","00538000004gsNsAAI","2016-09-14 13:48:41","2016-09-14 13:48:41","0"
"01250000000Lw6gAAC","Non-USO Workshop Participant","","","","Contact","0","00550000000ztRtAAI","2014-02-17 19:41:12","00538000004gsNsAAI","2016-08-26 15:31:36","2016-08-26 15:31:36","0"
"01250000000LwNXAA0","Career Opportunity Day Participant","","Career Opportunity Day Participant Only - We no longer account for these types of veterans","","Contact","0","00550000002Ccz4AAC","2014-09-18 18:10:24","00538000004gsNsAAI","2016-08-26 15:31:36","2016-08-26 15:31:36","0"
"01250000000LwYpAAK","Workshop Participant","","These registrants have attended a HHUSA or partnered-sponsored Workshop","","Contact","1","00550000002Ccz4AAC","2015-02-20 16:46:05","00538000004gsNsAAI","2016-09-14 13:48:42","2016-09-14 13:48:42","0"
"01250000000LwZiAAK","Test","","Test1","","Task","1","00550000002Ccz4AAC","2015-02-24 19:51:00","00550000000z4FcAAI","2016-09-19 19:27:48","2016-09-19 19:27:48","0"
"01250000000LwxVAAS","IT Requests","","","01950000000LJ3nAAG","Case","1","00550000002Ccz4AAC","2015-07-02 13:38:32","00538000004gsNsAAI","2016-09-16 16:49:12","2016-09-16 16:49:12","0"
"01250000000LwxaAAC","Volunteer Requests","","","01950000000LJ3sAAG","Case","1","00550000000ztRtAAI","2015-07-08 15:46:41","00538000004gsNsAAI","2016-09-16 16:49:12","2016-09-16 16:49:12","0"
